"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2023","156.40","150.00","158.10","150.00","5.63M","5.11%"
"06/27/2023","148.80","147.20","149.50","145.20","1.27M","1.16%"
"06/26/2023","147.10","143.90","149.40","143.00","2.76M","2.51%"
"06/23/2023","143.50","141.70","144.90","138.90","2.79M","2.94%"
"06/22/2023","139.40","134.10","142.00","132.70","3.05M","4.03%"
"06/21/2023","134.00","135.50","139.00","132.80","2.05M","-0.67%"
"06/20/2023","134.90","136.10","137.90","132.50","2.22M","-1.03%"
"06/19/2023","136.30","145.70","146.60","135.40","2.50M","-6.32%"
"06/16/2023","145.50","144.20","148.10","143.00","3.13M","1.25%"
"06/15/2023","143.70","139.50","143.90","139.50","2.08M","3.16%"
"06/14/2023","139.30","143.50","144.80","138.90","2.62M","-2.93%"
"06/13/2023","143.50","151.10","151.10","142.50","3.36M","-5.03%"
"06/12/2023","151.10","157.00","159.90","150.20","4.00M","-2.07%"
"06/09/2023","154.30","150.30","157.70","149.70","6.76M","3.00%"
"06/08/2023","149.80","149.50","152.90","146.40","3.46M","0.20%"
"06/07/2023","149.50","150.50","154.40","148.80","4.31M","0.95%"
"06/06/2023","148.10","153.20","154.00","145.60","3.73M","-3.33%"
"06/05/2023","153.20","149.00","157.20","147.10","6.40M","4.57%"
"06/02/2023","146.50","145.70","149.00","142.50","3.74M","1.17%"
"06/01/2023","144.80","144.50","153.20","140.80","9.72M","1.26%"
"05/31/2023","143.00","131.00","143.00","127.90","5.67M","9.92%"
"05/30/2023","130.10","127.60","131.60","125.70","3.40M","2.76%"
"05/29/2023","126.60","120.20","127.50","120.10","3.53M","6.66%"
"05/26/2023","118.70","115.20","122.50","115.00","6.95M","4.49%"
"05/25/2023","113.60","113.10","116.50","112.10","3.63M","1.16%"
"05/24/2023","112.30","114.00","116.60","110.30","3.68M","0.00%"
"05/23/2023","112.30","111.50","115.80","110.80","3.03M","0.72%"
"05/22/2023","111.50","112.10","114.30","109.90","2.64M","0.09%"
"05/18/2023","111.40","115.00","116.50","110.90","2.90M","-2.71%"
"05/17/2023","114.50","109.60","118.50","109.60","6.15M","4.57%"
"05/16/2023","109.50","106.00","110.30","105.80","3.82M","3.30%"
"05/15/2023","106.00","106.40","117.80","103.90","4.61M","-5.10%"
"05/12/2023","111.70","111.80","113.50","110.40","2.78M","-0.09%"
"05/11/2023","111.80","108.00","116.30","105.70","4.98M","1.27%"
"05/10/2023","110.40","110.40","113.60","109.00","2.28M","0.00%"
"05/09/2023","110.40","116.50","117.70","110.40","2.07M","-3.58%"
"05/08/2023","114.50","113.80","115.80","109.90","2.53M","1.06%"
"05/05/2023","113.30","119.50","120.50","113.20","2.14M","-4.79%"
"05/04/2023","119.00","118.40","123.50","117.40","3.33M","0.34%"
"05/03/2023","118.60","125.50","126.10","114.10","3.46M","-5.12%"
"05/02/2023","125.00","133.50","134.50","124.60","2.54M","-5.52%"
"04/28/2023","132.30","144.00","150.80","130.50","10.76M","-8.25%"
"04/27/2023","144.20","131.00","144.20","129.90","6.79M","9.99%"
"04/26/2023","131.10","134.40","135.30","131.10","1.88M","-2.16%"
"04/25/2023","134.00","139.80","141.10","134.00","1.77M","-3.74%"
"04/24/2023","139.20","140.20","142.30","139.00","2.26M","-0.22%"
"04/20/2023","139.50","139.30","139.90","136.80","577.57K","0.65%"
"04/19/2023","138.60","138.40","140.00","137.20","1.48M","0.22%"
"04/18/2023","138.30","141.00","142.40","138.00","1.43M","-1.64%"
"04/17/2023","140.60","143.50","146.30","140.60","2.17M","-1.13%"
"04/14/2023","142.20","145.00","145.10","141.40","2.28M","-2.07%"
"04/13/2023","145.20","145.40","149.90","144.60","2.60M","-0.07%"
"04/12/2023","145.30","144.00","146.30","142.80","2.24M","1.11%"
"04/11/2023","143.70","146.40","148.20","142.40","3.64M","-1.51%"
"04/10/2023","145.90","138.60","149.90","137.60","6.38M","6.81%"
"04/07/2023","136.60","136.50","142.80","135.40","3.16M","0.07%"
"04/06/2023","136.50","138.20","139.60","136.20","1.79M","-1.16%"
"04/05/2023","138.10","138.50","142.10","136.50","2.79M","0.29%"
"04/04/2023","137.70","137.90","138.60","133.50","2.37M","0.81%"
